Original English	Model French Translation	Back-Translated English
How are you?	comment vas-tu ?	how are you ?
I love machine learning.	j'adore les mathématiques.	i love mathematics.
What time is it?	quelle heure est-il, ?	what time is it, ?
Where is the nearest station?	où se trouve la gare la plus proche ?	where is the nearest station ?
Thank you very much!	merci beaucoup !	thank you very much !
I want to go home.	je veux aller à la maison.	i want to go home.
The weather is beautiful today.	le temps est beau aujourd'hui.	the weather is beautiful today.
Can I help you?	puis-je vous aider ?	can i help you ?
Please speak slowly.	parle s'il te plaît.	speak please.
I don't understand.	je ne comprends pas.	i do not understand.
What is your name?	quel est votre nom de famille ?	what is your family name ?
My name is John.	mon nom est mme jackson.	my name is mrs. jackson.
I am a student.	je suis étudiant.	i am a student.
He likes to read books.	il aime lire des livres.	he likes to read books.
She plays the piano.	elle joue du piano.	she plays the piano.
We are learning French.	nous étudions le français.	we are studying french.
They live in Paris.	ils vivent à boston.	they live in boston.
This is a difficult problem.	c'est un problème très difficile.	it is a very difficult problem.
I need some water.	j'ai besoin d'un peu d'eau.	i need some water.
Do you speak English?	parles-tu déjà ?	do you speak already ?
Yes, a little.	un peu triste !	a little sad !
No, not at all.	non, absolument pas du tout.	no, absolutely not at all.
Good morning.	bon matin.	good morning.
Good night.	bonne nuit !	good night !
See you later.	à vous voir plus tard.	to see you later.
Excuse me.	excusez-moi.	excuse me.
I am sorry.	je suis désolé.	i am sorry.
It's a beautiful day.	c'est une belle journée.	it is a beautiful day.
The cat is on the table.	le chat est sur la table.	the cat is on the table.
Where is the bathroom?	où sont les toilettes ?	where are the toilets ?
I would like a coffee, please.	j'aimerais un café, s'il vous plaît.	i would like a coffee, please.
How much does it cost?	combien coûte combien ?	how much does it cost how much ?
I am hungry.	j'ai faim.	i am hungry.
I am thirsty.	j'ai soif.	i am thirsty.
Help me, please.	aide-moi, s'il te plait.	help me, please.
Call an ambulance!	appelle un bisou !	call a kiss !
I am lost.	je suis perdu.	i am lost.
Can you show me the way?	pouvez-vous m'indiquer le chemin ?	can you show me the way ?
I live in Lahore.	je vis confortablement.	i live comfortably.
My favorite color is blue.	ma couleur préférée est le bleu.	my favorite color is blue.
This food is delicious.	cette nourriture est délicieux.	this food is delicious.
I enjoy traveling.	j'aime voyager.	i like to travel.
What is your job?	quelle est votre travail ?	what is your work ?
I am an engineer.	je suis ingénieur.	i am an engineer.
It's raining outside.	il pleut à l'extérieur.	it is raining outside.
Happy birthday!	bon anniversaire !	happy birthday !
I wish you good luck.	je te souhaite bonne chance.	i wish you good luck.
The world is big.	le monde est grand.	the world is big.
Tell me more.	dis-m'en davantage.	tell me more.
I need a break.	j'ai besoin d'une pause.	i need a break.
