Original English	Model French Prediction	Back-Translated English
How are you?	comment vas-tu ?	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
I love machine learning.	j'adore les mathématiques.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
What time is it?	quelle heure est-il, ?	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Where is the nearest station?	où se trouve la gare la plus proche ?	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Thank you very much!	merci beaucoup !	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
I want to go home.	je veux aller à la maison.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
The weather is beautiful today.	le temps est beau aujourd'hui.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Can I help you?	puis-je vous aider ?	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Please speak slowly.	parle s'il te plaît.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
I don't understand.	je ne comprends pas.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
What is your name?	quel est votre nom de famille ?	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
My name is John.	mon nom est mme jackson.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
I am a student.	je suis étudiant.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
He likes to read books.	il aime lire des livres.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
She plays the piano.	elle joue du piano.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
We are learning French.	nous étudions le français.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
They live in Paris.	ils vivent à boston.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
This is a difficult problem.	c'est un problème très difficile.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
I need some water.	j'ai besoin d'un peu d'eau.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Do you speak English?	parles-tu déjà ?	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Yes, a little.	un peu triste !	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
No, not at all.	non, absolument pas du tout.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Good morning.	bon matin.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Good night.	bonne nuit !	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
See you later.	à vous voir plus tard.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
Excuse me.	excusez-moi.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
I am sorry.	je suis désolé.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
It's a beautiful day.	c'est une belle journée.	Translation Error: AttributeError - 'coroutine' object has no attribute 'text'
