Original English	French Prediction
How are you?	comment vas-tu ?
I love machine learning.	j'adore les mathématiques.
What time is it?	quelle heure est-il, ?
Where is the nearest station?	où se trouve la gare la plus proche ?
Thank you very much!	merci beaucoup !
I want to go home.	je veux aller à la maison.
The weather is beautiful today.	le temps est beau aujourd'hui.
Can I help you?	puis-je vous aider ?
Please speak slowly.	parle s'il te plaît.
I don't understand.	je ne comprends pas.
What is your name?	quel est votre nom de famille ?
My name is John.	mon nom est mme jackson.
I am a student.	je suis étudiant.
He likes to read books.	il aime lire des livres.
She plays the piano.	elle joue du piano.
We are learning French.	nous étudions le français.
They live in Paris.	ils vivent à boston.
This is a difficult problem.	c'est un problème très difficile.
I need some water.	j'ai besoin d'un peu d'eau.
Do you speak English?	parles-tu déjà ?
Yes, a little.	un peu triste !
No, not at all.	non, absolument pas du tout.
Good morning.	bon matin.
Good night.	bonne nuit !
See you later.	à vous voir plus tard.
Excuse me.	excusez-moi.
I am sorry.	je suis désolé.
It's a beautiful day.	c'est une belle journée.
The cat is on the table.	le chat est sur la table.
Where is the bathroom?	où sont les toilettes ?
I would like a coffee, please.	j'aimerais un café, s'il vous plaît.
How much does it cost?	combien coûte combien ?
I am hungry.	j'ai faim.
I am thirsty.	j'ai soif.
Help me, please.	aide-moi, s'il te plait.
Call an ambulance!	appelle un bisou !
I am lost.	je suis perdu.
Can you show me the way?	pouvez-vous m'indiquer le chemin ?
I live in Lahore.	je vis confortablement.
My favorite color is blue.	ma couleur préférée est le bleu.
This food is delicious.	cette nourriture est délicieux.
I enjoy traveling.	j'aime voyager.
What is your job?	quelle est votre travail ?
I am an engineer.	je suis ingénieur.
It's raining outside.	il pleut à l'extérieur.
Happy birthday!	bon anniversaire !
I wish you good luck.	je te souhaite bonne chance.
The world is big.	le monde est grand.
Tell me more.	dis-m'en davantage.
I need a break.	j'ai besoin d'une pause.
